source_domain,source_id,source_code,target_domain,target_id,target_code,match_type,confidence
IDIS,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124-2024,IDIS_BIP,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124,NORMALIZED,0.9
IDIS,49507bd7-3cb6-48f7-9ac2-63e29acec0c7,40031195-2021,IDIS_BIP,49507bd7-3cb6-48f7-9ac2-63e29acec0c7,40031195,NORMALIZED,0.9
IDIS,876baa51-c5bc-4847-8391-7b38f4ba5d80,40031204-2021,IDIS_BIP,876baa51-c5bc-4847-8391-7b38f4ba5d80,40031204,NORMALIZED,0.9
IDIS,f2ca4f82-debe-4d2d-b355-14a013cd3f31,40031258-2021,IDIS_BIP,f2ca4f82-debe-4d2d-b355-14a013cd3f31,40031258,NORMALIZED,0.9
IDIS,ad10974c-6e3d-497e-8210-561afb80d214,40031327-2021,IDIS_BIP,ad10974c-6e3d-497e-8210-561afb80d214,40031327,NORMALIZED,0.9
IDIS,ad10974c-6e3d-497e-8210-561afb80d214,40031327-2021,IDIS_BIP,7d4753ce-acad-4440-bce4-195b4c2d4968,40031327,NORMALIZED,0.9
IDIS,7d4753ce-acad-4440-bce4-195b4c2d4968,40031327-2022,IDIS_BIP,ad10974c-6e3d-497e-8210-561afb80d214,40031327,NORMALIZED,0.9
IDIS,7d4753ce-acad-4440-bce4-195b4c2d4968,40031327-2022,IDIS_BIP,7d4753ce-acad-4440-bce4-195b4c2d4968,40031327,NORMALIZED,0.9
IDIS,bce632a9-0c2f-4db6-9e66-d435a38a0c6b,40031329-2020,IDIS_BIP,bce632a9-0c2f-4db6-9e66-d435a38a0c6b,40031329,NORMALIZED,0.9
IDIS,d5932f2f-d21f-462e-b78f-4a0ad20a2907,40031413-2021,IDIS_BIP,d5932f2f-d21f-462e-b78f-4a0ad20a2907,40031413,NORMALIZED,0.9
IDIS,301e1a76-1036-4302-88ed-a27a33a50cee,40031556-2021,IDIS_BIP,301e1a76-1036-4302-88ed-a27a33a50cee,40031556,NORMALIZED,0.9
IDIS,36388c04-fc25-4e01-91bf-0b8539e5c128,40031752-2021,IDIS_BIP,36388c04-fc25-4e01-91bf-0b8539e5c128,40031752,NORMALIZED,0.9
IDIS,668867ad-b698-47e5-8a1c-aa4dadabd89a,40031779-2022,IDIS_BIP,668867ad-b698-47e5-8a1c-aa4dadabd89a,40031779,NORMALIZED,0.9
IDIS,1a7593f3-ad1c-44ec-90f4-42988b037d17,40031817-2021,IDIS_BIP,1a7593f3-ad1c-44ec-90f4-42988b037d17,40031817,NORMALIZED,0.9
IDIS,1a7593f3-ad1c-44ec-90f4-42988b037d17,40031817-2021,IDIS_BIP,e01676af-495e-477c-8e1b-e4f9a3831c84,40031817,NORMALIZED,0.9
IDIS,e01676af-495e-477c-8e1b-e4f9a3831c84,40031817-2022,IDIS_BIP,1a7593f3-ad1c-44ec-90f4-42988b037d17,40031817,NORMALIZED,0.9
IDIS,e01676af-495e-477c-8e1b-e4f9a3831c84,40031817-2022,IDIS_BIP,e01676af-495e-477c-8e1b-e4f9a3831c84,40031817,NORMALIZED,0.9
IDIS,9bb019a0-fe27-4cb2-86ab-5c61220ef243,40031827-2021,IDIS_BIP,9bb019a0-fe27-4cb2-86ab-5c61220ef243,40031827,NORMALIZED,0.9
IDIS,61711a88-1f01-42f4-b25c-db84927b754e,40031937-2021,IDIS_BIP,61711a88-1f01-42f4-b25c-db84927b754e,40031937,NORMALIZED,0.9
IDIS,49cf20cb-2379-447c-95d8-a3d8f43ef12f,40031958-2022,IDIS_BIP,49cf20cb-2379-447c-95d8-a3d8f43ef12f,40031958,NORMALIZED,0.9
IDIS,242bc689-e625-4e03-981f-a1a9354b7438,40032021-2021,IDIS_BIP,242bc689-e625-4e03-981f-a1a9354b7438,40032021,NORMALIZED,0.9
IDIS,41c336f5-7d6f-4959-8a57-91c1d4c053cc,40032057-2021,IDIS_BIP,41c336f5-7d6f-4959-8a57-91c1d4c053cc,40032057,NORMALIZED,0.9
IDIS,90de57bb-e287-4aa5-97a7-ec24c8a1587f,40032251-2021,IDIS_BIP,90de57bb-e287-4aa5-97a7-ec24c8a1587f,40032251,NORMALIZED,0.9
IDIS,90de57bb-e287-4aa5-97a7-ec24c8a1587f,40032251-2021,IDIS_BIP,38afb334-bb13-4563-af99-381bcbbdfa09,40032251,NORMALIZED,0.9
IDIS,38afb334-bb13-4563-af99-381bcbbdfa09,40032251-2022,IDIS_BIP,90de57bb-e287-4aa5-97a7-ec24c8a1587f,40032251,NORMALIZED,0.9
IDIS,38afb334-bb13-4563-af99-381bcbbdfa09,40032251-2022,IDIS_BIP,38afb334-bb13-4563-af99-381bcbbdfa09,40032251,NORMALIZED,0.9
IDIS,452eab45-4be2-438a-ae92-be00f7d73a29,40032465-2022,IDIS_BIP,452eab45-4be2-438a-ae92-be00f7d73a29,40032465,NORMALIZED,0.9
IDIS,452eab45-4be2-438a-ae92-be00f7d73a29,40032465-2022,IDIS_BIP,0347ed75-4860-468b-9326-5d290a7a19a5,40032465,NORMALIZED,0.9
IDIS,0347ed75-4860-468b-9326-5d290a7a19a5,40032465-2024,IDIS_BIP,452eab45-4be2-438a-ae92-be00f7d73a29,40032465,NORMALIZED,0.9
